id,reviews,labels
2498,For the price not worth it. Taste not very good.,negative
4297,Perfect combination of Choco chips and chocolate flavor. The crunchiness of chips added some little taste in it. Mouth melting Experience. I love this ice cream.,positive
4293,This ice cream is defiently the best on the market! I am a repeating consumer and will be for the rest of my life. It can be a little pricey. VERY DELICIOUS!!!! I am satisfied with the product they make!,positive
4298,The best ice cream ever! Yes it is more expensive per pint than most ice creams are per quart but it is soooo good. I continue to buy this because I love the rich flavor and you cant beat a cookie dough and brownie combination to me!,positive
4300,Ben and Jerrys is my favorite ice cream. They have to many flavors- you cant go wrong- but half baked is definitely one of the best in my opinion. I will definitely buy again.,positive
5101,"Ugh so good. The combo of caramel, brownie, and whatever else is in there (can't remember at the moment) is so great. It's a little high calorie but so good. I also only buy this on sale because it's like $6 at rite aid which is insane.",positive
5133,"I've had this a few times and it was beyond heavenly but unfortunately the last few times the peanut butter cookie dough has tasted realllllyyy weird and not good. It makes me so sad cause this is the best flavor in the world, or use to be. Please fix it!!!",negative
10864,I ordered an unspecified pint of Ben & Jerry's from the deli and my delivery guy gave me this gem. I fell in love. It was fate <3,positive
10892,What a great flavor! It has that great cookie crumble that I love + cookie dough...mmmm!,positive
10893,Definitely the best ben & jerry’s I’ve had. Really good taste and combination,positive
319,Great product,positive
4281,SO SO SO good! I love love love Ben & Jerry's and this is my absolute favorite flavor! Cannot resist a serving every single day of the week!,positive
4282,"The perfect combination of cookie dough and brownie, and I really like the chuck pieces in it too. Also the chocolate and vanilla ice cream makes it even better. Im always happy when I have some of this in my day.",positive
4283,This stuff is dangerous. Take one bite and you will end up eating the whole pint! Jeez the cookie dough and brownies are perfection mixed in vanilla and chocolate ice cream... I'm drooling.,positive
4286,"The best of the flavors, but there are so many good ones. Ben & Jerrys is a household staple.",positive
4287,Hands down the best ice cream ever really rich creamy flavor . Really affordable price.,positive
4288,YASS! This is my all time favorite Ben & Jerry's ice cream! I love all the different flavors it has and the chocolatey goodness. When I'm having a crabby day or even some me-time I grab my spoon and chill with some Netflix and my night is set thanks to this buddy right here!,positive
4285,This ice cream is the bomb! It has brownies and cookie dough!!! What more can you ask for,positive
4289,Most amazing flavor ever. It has the perfect blend of chocolate and vanilla ice cream with cookie dough and fudge brownie chunks. Highly recommend,positive
4301,One of my favorite Ben & Jerrys flavor. Super creamy ice cream. A little expensive just like any Ben & Jerrys ice cream,positive
4294,Errr mah gerrrd! One of the best ice creams! Wish they made bigger containers though.,positive
4295,every single flavor of Ben & Jerry's I have had has been so good. I love ice cream and they just go above and beyond to taste amazing. You definitely get what you pay for.,positive
12709,"Im still in the testing stages, however after a week I definitely felt the boost in libido and energy. This thing is doing something and im not complaining about it. The gym has been fun, wife has been happy and I have no complaints yet.",positive
4290,Yum so good. If only this was healthy for you lol. I would eat tubs. This is a healthy alt to ice cream though,positive
4292,If you live cookie dough this is the icecream for you! Tastes amazing but the price is up there for the amount you are getting and compared to other brands.,positive
4296,Its my favorite ben & jerrys ice cream. Taste so chocolatey and delicious. I could finished a pint of the ice cream by myself. Very recommended to all the chocolate lovers.,positive
4302,This is my number one favorite ice cream brand and I wouldnt even want any other flavor!,positive
10799,Loved it !! It was so yummyyyyyy ! The flavor is just amazingggggg,positive
13239,"These batteries do not take a charge. Stick to national / well known brands, if you want to avoid aggravation.",negative
13240,These don’t last for longer than 30 minutes and are nonreturnable.A waste of money do nothing buy!,negative
16274,Works Great!,positive
2499,"Absolutely Delicious! Healthy, Flavorful, Nutritional, and mine!",positive
2500,Great purchase,positive
6959,These sweet fish are my favorite!! So good!,positive
6957,Absolutely love the sweet fish! Delicious!,positive
4322,This is my second favorite Ben & Jerry's flavor and def one of my go tos. It's really good. Love chocolate so brownie plus cookie dough is a great combination. Honestly I don't know anyone who doesn't like half baked,positive
4323,"Oh my god I absolutely L O V E this icecream, like in my personal top 3. Everyone should try a Ben and Jerrys icecream at some point",positive
4695,"I don't know why people are complaining as this ice cream has been and forever will be amazing. This is by far my favorite flavor, I don't know what changed about the brownie but I like it either way.",positive
6958,"These are so, so good. Keep 'em coming!",positive
